Variable,N,Mean,Std Dev,Min,Q25,Median,Q75,Max,Skew,Kurt
"r_t (SPY, %)",3772,0.050966231529545235,1.0773676874250477,-11.588654437484383,-0.37160381648074836,0.06856862352983116,0.5773611442161048,8.673091882261959,-0.721752769719741,11.542080299232573
VIX_t,3773,18.376830109101597,6.963833759175029,9.140000343322754,13.600000381469727,16.600000381469727,21.15999984741211,82.69000244140625,2.3731759131803574,10.906253164997874
"ΔVIX_t,1",3772,-0.0006998942993099338,1.8433485080219285,-17.639999389648438,-0.7300012111663818,-0.10000038146972656,0.5699996948242188,24.860000610351562,2.216723437479718,29.171638296048002
"ΔVIX_t,5",3768,-0.004408174006549163,3.532862045851053,-21.10000228881836,-1.5199997425079346,-0.1700000762939453,1.239999771118164,35.85000228881836,1.4222756254036277,13.07761712202198
RV_d (GK),3773,10.863690323999503,8.07362132955769,1.3715253985515046,6.050044181569675,8.768778056233174,13.019804291135861,118.0580595974701,3.8822985824875293,28.542666029999918
VRP_t,3752,231.30017064836125,184.01431343356657,-32.06571119186276,113.77772188945362,171.85964070327762,276.3352946880983,1428.4432549268392,2.286394506240527,6.536222486436067
slope_t,3773,2.4784521472697354,3.609894305702843,-46.31999588012695,1.390000343322754,2.9200000762939453,4.229999542236328,12.490001678466797,-3.733558331649268,29.878837270590118
Δy_10Y,3772,0.00018557794273594904,0.05379245030925028,-0.30000000000000027,-0.030000000000000027,0.0,0.03000000000000025,0.29000000000000004,0.0090834951213028,1.6810439580054126
MOVE_t,3752,0.7894824321866886,0.28564312997137326,0.29179694060330935,0.5791255159466887,0.7338812438521906,0.940418184754623,2.211161767857875,1.1828521228883238,1.9085329989438176
spread_t,3773,1.163986217863769,0.38158709122233275,0.6000000000000001,0.86,1.09,1.38,2.9000000000000004,0.8278095624855332,0.35957120778456897
