Method,RMSE,R2_oos,Active Features
OLS,3.4169654101177,0.013242019352860956,11
Ridge,3.4167323356668624,0.013376630156889502,11
Lasso,3.3785341116672587,0.03531372658042309,4
Elastic Net,3.3860230899850965,0.031032271130514544,8
