T_min,RMSE,R2_oos,DM_pval,N_oos
250,3.437316109929712,0.044150745831749605,0.33169720500139355,3497
500,3.3679777580091,0.04133270384529686,0.4117972618951029,3247
750,3.453224756367707,0.04048982138543955,0.4346897710802835,2997
