Period,RMSE,R2_oos,DM_stat,DM_pval,N_oos
Pre-COVID (2012-2019),2.665174716176554,0.10386399291245352,3.7399925701329426,0.00018921954651286542,1995
COVID (2020-2021),5.650578940161121,-0.04882394917318278,-0.39971708980917803,0.6895342427461449,505
Post-COVID (2022-2024),2.955953575080618,0.09757964041723388,2.933936656096986,0.0034495878062381947,747
Full Sample,3.3675381216897162,0.04158296526866567,0.8266597008229767,0.4084907287118873,3247
