Target,RMSE,R2_oos,DM_pval
"ΔVIX (arithmetic, baseline)",3.3679777580091,0.04133270384529686,0.4117972618951029
log(VIX_{t+5}/VIX_t),0.15300760184139858,0.0456795847477488,0.09465512569913526
